Name,year_of_explotation,"price, tg",rooms,"area, m2",price/area,region,address
ЖК Esentai City,2 018,108 900 000,3-комнатная квартира,"121,00",900000,Медеуский р-н, Аль- Фараби 116 NA
ЖК BlackBerry Hills,2 021,160 378 000,5-комнатная квартира,"302,00",531053,Медеуский р-н, улица 4-ая 2 NA
ЖК Esentai City,2 018,189 720 000,5-комнатная квартира,"225,00",843200,Медеуский р-н, Аль- Фараби 116/1 NA
ЖК Serenity Park,2 021,113 750 000,5-комнатная квартира,"175,00",650000,Бостандыкский р-н, мкр Нур Алатау  Әбілқайыр хан 111
ЖК Serenity Park,2 022,110 750 000,5-комнатная квартира,"177,00",625706,Бостандыкский р-н, мкр Нур Алатау  Әбілқайыр хан
ЖК IRIS HOME,2 022,51 129 000,4-комнатная квартира,"175,00",292166,Наурызбайский р-н, мкр Карагайлы  Саудакент
ЖК IRIS HOME,2 022,44 460 000,4-комнатная квартира,"117,00",380000,Наурызбайский р-н, мкр Карагайлы — Джандосова NA
ЖК Serenity Park,2 022,110 750 000,4-комнатная квартира,"175,00",632857,Бостандыкский р-н, мкр Нур Алатау  Әбілқайыр хан 111
ЖК Kerey Residence,2 022,97 000 000,3-комнатная квартира,"161,00",602484,Бостандыкский р-н, мкр Нур Алатау  13 34
ЖК BlackBerry Hills,2 021,177 751 400,6-комнатная квартира,"335,00",530601,Медеуский р-н, улица 4-ая 2 NA
ЖК Esentai City,2 018,210 285 000,5-комнатная квартира,"233,00",902511,Медеуский р-н, Аль- Фараби 116/1 NA
ЖК Serenity Park,2 021,113 750 000,5-комнатная квартира,"175,00",650000,Бостандыкский р-н,Әбілқайыр хан 111
ЖК Bella Villa (КГ),2 010,120 000 000,6-комнатная квартира,"356,00",337079,Бостандыкский р-н, Рыскулбекова NA
Evim Friends,2 022,83 800 000,4-комнатная квартира,"138,00",607246,Бостандыкский р-н, Нажимеденова 3/1 NA
ЖК BlackBerry Hills,2 021,237 440 000,6-комнатная квартира,"448,00",530000,Медеуский р-н, улица 4-ая 2 NA
ЖК BlackBerry Hills,2 020,174 741 000,4-комнатная квартира,"329,00",531128,Медеуский р-н, 4-ая 2 NA
